URL,HELP Cat,Include,Header,Depth,Notes
https://mariadb.com/kb/en/sql-statements-structure/,,2, SQL Statements and Structure,1,
https://mariadb.com/kb/en/sql-statements/,,2, SQL Statements,1.1,
https://mariadb.com/kb/en/account-management-sql-commands/,,2, Account Management SQL Commands ,1.1.1,
https://mariadb.com/kb/en/create-user/,10,1,,1.1.1.1,
https://mariadb.com/kb/en/alter-user/,10,1,,1.1.1.2,
https://mariadb.com/kb/en/drop-user/,10,1,,1.1.1.3,
https://mariadb.com/kb/en/grant/,10,1,,1.1.1.4,
https://mariadb.com/kb/en/rename-user/,10,1,,1.1.1.5,
https://mariadb.com/kb/en/revoke/,10,1,,1.1.1.6,
https://mariadb.com/kb/en/set-password/,10,1,,1.1.1.7,
https://mariadb.com/kb/en/create-role/,10,1,,1.1.1.8,
https://mariadb.com/kb/en/drop-role/,10,1,,1.1.1.9,
https://mariadb.com/kb/en/set-role/,10,1,,1.1.1.10,
https://mariadb.com/kb/en/set-default-role/,10,1,,1.1.1.11,
https://mariadb.com/kb/en/show-grants/,26,1,,1.1.1.12,
https://mariadb.com/kb/en/show-create-user/,26,1,,1.1.1.13,
https://mariadb.com/kb/en/administrative-sql-statements/,,2, Administrative SQL Statements ,1.1.2,
https://mariadb.com/kb/en/table-statements/,,2, Table Statements,1.1.2.1,
https://mariadb.com/kb/en/alter/,,2, ALTER,1.1.2.1.1,
https://mariadb.com/kb/en/alter-table/,39,1,,1.1.2.1.1.1,
https://mariadb.com/kb/en/alter-database/,39,1,,1.1.2.1.1.2,
https://mariadb.com/kb/en/alter-event/,39,1,,1.1.2.1.1.3,
https://mariadb.com/kb/en/alter-function/,39,1,,1.1.2.1.1.4,
https://mariadb.com/kb/en/alter-logfile-group/,39,1,,1.1.2.1.1.5,
https://mariadb.com/kb/en/alter-procedure/,39,1,,1.1.2.1.1.6,
https://mariadb.com/kb/en/alter-sequence/,TBC,1,,1.1.2.1.1.7,
https://mariadb.com/kb/en/alter-server/,39,1,,1.1.2.1.1.8,
https://mariadb.com/kb/en/alter-tablespace/,39,1,,1.1.2.1.1.9,
https://mariadb.com/kb/en/alter-user/,10,3, ALTER USER,1.1.2.1.1.10,Already above
https://mariadb.com/kb/en/alter-view/,39,1,,1.1.2.1.2,
https://mariadb.com/kb/en/analyze-table/,20,1,,1.1.2.1.3,
https://mariadb.com/kb/en/check-table/,20,1,,1.1.2.1.4,
https://mariadb.com/kb/en/check-view/,20,1,,1.1.2.1.5,
https://mariadb.com/kb/en/checksum-table/,20,1,,1.1.2.1.6,
https://mariadb.com/kb/en/create-table/,39,1,,1.1.2.1.7,
https://mariadb.com/kb/en/delete/,27,1,,1.1.2.1.8,
https://mariadb.com/kb/en/drop-table/,39,1,,1.1.2.1.9,
https://mariadb.com/kb/en/installing-system-tables-mysql_install_db/,TBC,1,,1.1.2.1.10,
https://mariadb.com/kb/en/mysqlcheck/,TBC,1,,1.1.2.1.11,
https://mariadb.com/kb/en/optimize-table/,20,1,,1.1.2.1.12,
https://mariadb.com/kb/en/rename-table/,39,1,,1.1.2.1.13,
https://mariadb.com/kb/en/repair-table/,20,1,,1.1.2.1.14,
https://mariadb.com/kb/en/repair-view/,20,1,,1.1.2.1.15,
https://mariadb.com/kb/en/replace/,27,1,,1.1.2.1.16,
https://mariadb.com/kb/en/show-columns/,26,1,,1.1.2.1.17,
https://mariadb.com/kb/en/show-create-table/,26,1,,1.1.2.1.18,
https://mariadb.com/kb/en/show-index/,26,1,,1.1.2.1.19,
https://mariadb.com/kb/en/truncate-table/,39,1,,1.1.2.1.20,
https://mariadb.com/kb/en/update/,27,1,,1.1.2.1.21,
https://mariadb.com/kb/en/backup-table-removed/,,0,,,
https://mariadb.com/kb/en/restore-table-removed/,,0,,,
https://mariadb.com/kb/en/ignore/,27,1,,1.1.2.1.22,
https://mariadb.com/kb/en/system-versioned-tables/,TBC,3,,,Use below rather
https://mariadb.com/kb/en/analyze-and-explain-statements/,,2, ANALYZE and EXPLAIN Statements,,
https://mariadb.com/kb/en/analyze-format-json/,28,1,,,
https://mariadb.com/kb/en/analyze-formatjson-examples/,28,1,,,
https://mariadb.com/kb/en/analyze-statement/,TBC,1,,,
https://mariadb.com/kb/en/explain/,28,1,,,
